Meeting / File Date,Name,File Type,Media Purpose,Download Link
4/12/2005,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050412cwm.pdf
4/19/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050419cm.pdf
4/26/2005,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050426cwm.pdf
4/26/2005,City Council Special Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050426spm.pdf
5/3/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050503cm.pdf
5/10/2005,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050510cwm.pdf
5/17/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050517cm.pdf
5/24/2005,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050524cwm.pdf
6/7/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050607cm.pdf
6/14/2005,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050614cwm.pdf
6/21/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050621cm.pdf
6/28/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050628cm.pdf
7/12/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050712cm.pdf
7/26/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050726cm.pdf
8/9/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050809cm.pdf
8/23/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050823cm.pdf
9/6/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050906cm.pdf
9/13/2005,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050913cwm.pdf
9/20/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050920cm.pdf
9/27/2005,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20050927cwm.pdf
10/4/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20051004cm.pdf
10/11/2005,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20051011cwm.pdf
10/18/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20051018cm.pdf
10/25/2005,City Council Workshop Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20051025cwm.pdf
11/1/2005,City Council Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20051101cm.pdf
11/10/2005,City Council Legislative Meeting Minutes,Document,Minutes,http://www.midvalecity.org/files/council/minutes/2005/20051110cm_legislative_breakfast.pdf
